file_path,class,duration,sample_rate,channels,file_size,hash,split,usage,quality_status
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004A_S01.wav,legacy_data_raw,1.8904,96000,2,725968,1b5eee194401eaf37d8c6bf5d8ed6442523532f789994c8a145822ec9886e06f,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004A_S02.wav,legacy_data_raw,1.9398,96000,2,744940,cc8d11646a96bbc85fb781c20e86b56221cd031e1d772c2786618c7eded0fa96,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004A_S03.wav,legacy_data_raw,2.0282,96000,2,778864,e976fd853388e6fb401a717d629ad89abe6f3c7d8b3f041adad78f77db78a733,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004A_S04.wav,legacy_data_raw,1.971,96000,2,756896,726f0a3e5e44bb86bb3ce4736e56dd2b4082ec584c3200bf0663cbee09c122f6,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004A_S05.wav,legacy_data_raw,1.9555,96000,2,750968,2fb94676af41f1805e058d47df258f7d41e73684b2eb17792d8508792c4fc7c1,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004A_S06.wav,legacy_data_raw,1.9849,96000,2,762244,72be74a2e1b9e6fd9891ab0e0ffcf4f314e1c50a4f9d23d438ba09de37ed104b,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004B_S01.wav,legacy_data_raw,1.8768,96000,2,720724,0e8d16e94b21da75451b76284c7b715f30008d4a6b5d3ed7a2ebc504d8c8d91e,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004B_S02.wav,legacy_data_raw,1.9665,96000,2,755192,d27e639be58b0b61749b8d65cea8465c8e844ef52f8150abdb969c96f5221b95,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004B_S03.wav,legacy_data_raw,2.0152,96000,2,773864,3138434faaaa9497f93286365647ccf88c0c992f2507a205b882107f30a16c1c,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004B_S04.wav,legacy_data_raw,1.9867,96000,2,762940,06f3a74b3d78c32632e0212389da91a81758b0eb8befbefd584278747ba6b6c6,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004B_S05.wav,legacy_data_raw,1.9113,96000,2,733968,7d114a289d82ba6077d73955714ea11a4b40cec2a8189ebcf8bd82c10e9d5d98,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_004B_S06.wav,legacy_data_raw,2.099,96000,2,806076,78846041b54101739755f9d21c05671cfce149faaf91a8fa107389af5cc01142,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_044A_S01.wav,legacy_data_raw,2.0361,96000,2,781904,ae6cf79b9175a686e7efe6ece97e7fd396af6221ab71314eef6a444f5ce6ef3c,train,extended_legacy_noise_library,valid
data/extracted/BoltAction22_Zoom/BoltAction22_Zoom/ZM_044A_S02.wav,legacy_data_raw,2.0149,96000,2,773748,c6cc1b1954838b279dd3ac97a00b88c3a7cbfad4beb35c4bfbde6e4a47aed2b6,train,extended_legacy_noise_library,valid
