class_id,class_name,filename,platform,mic,channel_orientation,is_phone,clip_id,file_id,day,part,event_id,mic_location,cartridge,is_silenced
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-0.wav,benelli_m4,DAVE,,0,0,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-1.wav,benelli_m4,DAVE,,0,1,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-2.wav,benelli_m4,DAVE,,0,2,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-3.wav,benelli_m4,DAVE,,0,3,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-4.wav,benelli_m4,DAVE,,0,4,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-5.wav,benelli_m4,DAVE,,0,5,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-6.wav,benelli_m4,DAVE,,0,6,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-7.wav,benelli_m4,DAVE,,0,7,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-8.wav,benelli_m4,DAVE,,0,8,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-9.wav,benelli_m4,DAVE,,0,9,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-10.wav,benelli_m4,DAVE,,0,10,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
7,12 Ga,7-oh_farm-benelli_m4-DAVE-yyjjHTJQoHkP-11.wav,benelli_m4,DAVE,,0,11,yyjjHTJQoHkP,1,1,oh_farm,dave_oh_farm,federal_tg_12g_8s,0
